feature,sample_count,correlation_5d,high_group_avg_5d,low_group_avg_5d,spread_5d,stability,learned_multiplier,raw_weight,normalized_weight
v8_score,169,0.079,0.634,-0.163,0.797,1.0,1.0792,25.9004,25.452
smart_money_score,169,0.0146,0.045,0.495,-0.45,1.0,0.9967,15.9476,15.672
institutional_score,169,0.0546,0.628,-0.208,0.836,1.0,1.0633,14.8863,14.629
historical_support_score,84,-0.092,-1.013,-0.097,-0.915,0.84,0.9228,9.2281,9.068
prediction_score,85,-0.1111,0.457,1.618,-1.161,0.85,0.9043,7.2346,7.109
live_confirmation_score,85,0.0667,2.142,-0.162,2.304,0.85,1.0984,8.7873,8.635
relationship_score,85,-0.1965,-0.067,2.154,-2.221,0.85,0.8265,4.9587,4.873
rsi,169,0.0593,0.851,-0.374,1.225,1.0,1.0783,5.3914,5.298
volume_ratio,169,0.0306,0.319,0.165,0.155,1.0,1.026,5.1302,5.042
ema20_distance,169,0.0627,0.738,-0.26,0.998,1.0,1.0739,4.2955,4.221
