market_rank,symbol,close,return_1d,return_5d,return_20d,rsi,ema20_distance,ema50_distance,volume_ratio,volume_accumulation_ratio,up_down_volume_ratio,atr_pct,range_20_pct,close_position,upper_wick_ratio,momentum_percentile,trend_percentile,volume_percentile,quality_percentile,relative_strength_score,market_percentile,relative_class
1,HUNER,4.02,2.551,-0.9852,6.6313,57.2917,3.5015,6.1484,1.9481,1.4422,1.8373,4.7619,15.7895,0.9687,0.0313,92.58532423208192,95.23915116040956,90.1877133105802,83.06313993174061,91.18795695221843,100.0,PÄ°YASA LÄ°DERÄ°
2,AHGAZ,40.98,5.0769,4.4342,22.8417,68.14,7.0786,13.2733,1.8136,1.3239,1.3809,4.0368,30.0245,0.9955,0.0045,97.65358361774744,91.55710580204777,80.75938566552901,76.20307167235495,88.5847085324232,99.82935153583618,PÄ°YASA LÄ°DERÄ°
3,CEOEM,32.0,6.6667,21.673,26.5823,74.2818,18.3727,23.8491,2.1672,1.8647,1.9867,5.5134,40.7248,0.9761,0.0239,99.15529010238909,86.87760866894197,94.98293515358361,64.7184300341297,88.43887987030716,99.65870307167235,PÄ°YASA LÄ°DERÄ°
4,DMRGD,11.88,10.0,12.0755,7.7063,49.7449,7.8421,7.8226,5.9276,1.3798,1.1204,5.2549,21.5,1.0,0.0,98.34470989761093,89.50419839590442,78.24232081911263,80.06825938566553,88.38231753924913,99.48805460750853,PÄ°YASA LÄ°DERÄ°
5,BOSSA,6.83,0.0,3.4848,1.6369,60.8108,3.6334,4.1929,1.8856,0.9633,3.5452,3.6185,15.1125,0.7955,0.2045,89.87627986348123,96.75577488054607,79.98293515358363,78.30204778156997,87.87809765187714,99.31740614334471,PÄ°YASA LÄ°DERÄ°
6,MAVI,37.72,9.9709,2.5,-1.0493,48.7132,1.6308,-1.4261,3.7755,1.4935,1.2361,3.6585,17.1772,1.0,0.0,92.55972696245733,84.17976395904438,82.87542662116041,90.49488054607508,87.73720563822528,99.14675767918088,PÄ°YASA LÄ°DERÄ°
7,ISDMR,62.1,8.377,2.5599,16.4011,67.5737,8.2923,11.2566,2.0895,1.129,1.3054,5.3485,22.5962,0.903,0.097,97.7815699658703,92.15636624573376,76.96245733788396,71.11774744027304,87.13069826962456,98.97610921501706,PÄ°YASA LÄ°DERÄ°
8,ZRGYO,19.91,1.8414,0.2518,2.155,57.5091,1.6673,3.9013,2.078,1.4004,0.5861,3.1678,11.0641,0.7679,0.2321,90.64846416382252,94.74197839590444,68.83105802047781,80.40102389078498,85.6684979556314,98.80546075085324,PÄ°YASA LÄ°DERÄ°
9,ANHYT,108.2,2.1719,0.8388,3.0476,57.6389,1.3385,1.4321,1.556,0.9807,1.1755,3.0697,8.6957,0.8209,0.1791,91.81313993174061,93.60453218430035,61.84300341296928,83.55802047781569,84.87060880204777,98.63481228668942,PÄ°YASA LÄ°DERÄ°
10,BMSTL,48.4,-1.8654,9.8004,3.6403,66.1243,5.923,7.2869,2.3749,1.3882,1.0776,4.4126,23.6584,0.8475,0.1525,89.06996587030717,92.90536549488054,75.44795221843003,70.4863481228669,84.1511318327645,98.46416382252559,PÄ°YASA LÄ°DERÄ°
11,ENERY,12.66,6.0302,10.3749,43.7003,80.4781,15.4992,25.4902,2.3212,1.5923,1.2598,5.2246,52.0642,0.9516,0.0484,99.07849829351537,81.22329361774744,83.53242320819113,61.467576791808874,83.84275600341299,98.29351535836177,PÄ°YASA LÄ°DERÄ°
12,AKBNK,71.55,9.7393,-0.7628,1.7781,47.1739,0.9643,1.4312,1.5482,1.3229,1.1321,4.2528,21.4968,0.9776,0.0224,92.97781569965869,83.93517894197953,70.68686006825939,81.0580204778157,83.66127040614334,98.12286689419795,PÄ°YASA LÄ°DERÄ°
13,LOGO,138.4,8.6342,-3.2844,0.2899,51.2761,1.5083,0.7679,1.7507,1.0979,1.0532,3.8501,20.1486,1.0,0.0,88.83105802047781,87.69883129692832,65.8703071672355,87.35494880546075,83.63354017406144,97.95221843003414,PÄ°YASA LÄ°DERÄ°
14,EBEBK,82.75,3.1796,1.1614,2.7312,49.2929,0.4264,1.1249,1.0231,1.1187,1.3946,4.126,12.0536,1.0,0.0,92.85836177474403,84.98221068259386,59.32593856655291,91.17747440273037,83.4864720784983,97.7815699658703,PÄ°YASA LÄ°DERÄ°
15,KCHOL,218.7,5.908,-2.4967,1.9105,54.3689,1.1364,4.4375,1.6533,0.9857,1.0354,3.5045,15.9601,0.8699,0.1301,90.98976109215016,91.60521819112627,59.317406143344705,82.3976109215017,83.29334020136518,97.61092150170649,PÄ°YASA LÄ°DERÄ°
16,TKFEN,258.0,9.9276,22.0435,11.6883,72.1719,17.5694,30.4365,1.321,0.7947,1.4505,5.0637,27.786,1.0,0.0,98.89931740614334,88.92583607508534,54.17235494880546,75.8532423208191,82.81358700000001,97.44027303754265,PÄ°YASA LÄ°DERÄ°
17,AGHOL,34.88,4.997,2.5882,11.7949,72.0,4.4134,4.8965,1.2861,0.99,1.1001,3.8745,18.0556,0.9074,0.0926,96.81740614334473,87.03191126279864,54.031569965870304,81.51023890784982,82.56930034129694,97.26962457337885,PÄ°YASA LÄ°DERÄ°
18,TOASO,287.0,5.4178,-1.2898,6.2963,56.8528,2.6045,1.8976,0.9542,1.0437,1.0493,4.1252,16.6342,0.9565,0.0435,93.78839590443687,93.58390225255972,44.03156996587031,84.38993174061433,82.08395907167235,97.09897610921502,PÄ°YASA LÄ°DERÄ°
19,DEVA,99.9,6.051,-4.9477,17.2535,60.4213,6.873,17.8169,0.6198,1.0839,1.7325,5.3232,32.0846,1.0,0.0,89.63310580204778,98.59949894197952,51.9283276450512,72.26109215017064,81.6551056552901,96.9283276450512,PÄ°YASA LÄ°DERÄ°
20,BAHKM,170.0,5.0031,1.7964,35.4582,54.7511,6.6947,18.9637,1.06,1.4308,1.5532,10.2437,65.4382,0.8482,0.1518,97.07337883959045,94.24271354948804,69.59044368600682,45.56313993174061,81.45574921843003,96.75767918088737,PÄ°YASA LÄ°DERÄ°
21,PGSUS,150.2,3.4435,-2.0222,0.0666,48.4634,-0.9419,-3.8731,1.5628,1.1507,1.2648,3.5524,13.879,0.8026,0.1974,89.03583617747441,80.11450027303754,71.7150170648464,80.0,81.26882107167236,96.58703071672356,PÄ°YASA LÄ°DERÄ°
22,CCOLA,80.4,5.098,1.1321,-1.9512,57.0732,0.5972,-1.4594,1.3146,0.891,0.6949,3.2427,12.1984,0.964,0.036,90.40955631399318,90.8616137883959,43.489761092150175,90.46928327645053,81.17196536518772,96.41638225255973,PÄ°YASA LÄ°DERÄ°
23,ZOREN,2.45,-3.9216,-2.7778,7.9295,59.0909,1.559,-0.6894,1.1186,1.895,2.4309,6.0641,18.6667,0.1538,0.0769,83.24658703071673,94.09904549488054,80.66552901023891,55.51194539249147,80.99387747098976,96.24573378839591,PÄ°YASA LÄ°DERÄ°
24,SANKO,20.2,2.3822,2.2267,7.2187,69.0544,2.6744,2.0065,0.8269,1.0042,1.0661,4.3458,16.5856,1.0,0.0,94.35153583617748,88.3868761774744,38.33617747440273,88.02901023890784,80.22101165870308,96.07508532423208,PÄ°YASA LÄ°DERÄ°
25,TUPRS,412.0,2.5513,-1.1398,4.1719,66.5782,4.5667,16.3136,0.9474,0.9593,1.2168,3.7491,15.4161,0.7969,0.2031,91.70648464163823,92.67603638225256,45.034129692832764,77.58532423208192,80.1210703003413,95.90443686006826,PÄ°YASA LÄ°DERÄ°
26,LKMNH,13.1,6.1588,2.9874,-3.9589,44.2177,-1.5445,-5.4053,1.3056,1.7744,1.0824,4.7819,17.9402,1.0,0.0,89.67576791808874,73.5280119112628,67.7815699658703,85.1962457337884,79.64628753242322,95.73378839590444,PÄ°YASA LÄ°DERÄ°
27,BIMAS,418.0,3.0826,-2.7907,0.3601,52.4496,0.96,4.0304,1.4989,0.9629,1.0526,2.9221,12.1795,0.6709,0.3291,87.9778156996587,89.58518607508532,56.058020477815695,74.419795221843,79.63562408191126,95.56313993174061,PÄ°YASA LÄ°DERÄ°
28,KONYA,3977.5,-0.9956,-0.5625,8.3787,57.2008,0.468,2.4085,0.8431,1.6192,1.4998,4.9879,20.5582,0.4194,0.3226,89.1296928327645,92.98327972696245,62.98634812286689,56.04522184300341,79.10189518088737,95.39249146757679,PÄ°YASA LÄ°DERÄ°
29,AKSA,11.12,4.8068,-1.94,-1.7668,52.8053,-0.3851,-2.5212,1.0938,0.9477,1.0983,3.1989,14.4259,0.9254,0.0746,88.43003412969283,85.6408109556314,46.20307167235495,87.98634812286689,79.06801120477814,95.22184300341297,PÄ°YASA LÄ°DERÄ°
30,ALCAR,698.5,1.3788,-1.3418,-0.4986,49.3697,-0.9274,-3.9585,0.9766,1.261,1.459,5.4044,17.3684,0.8889,0.1111,87.4914675767918,80.8346071331058,63.15699658703072,74.47525597269625,78.2845971569966,95.05119453924915,PÄ°YASA LÄ°DERÄ°
31,AVPGY,55.05,1.5683,-0.9892,8.3661,49.6575,0.4448,1.1646,1.0404,1.0409,1.1594,4.3402,19.7252,0.8125,0.1875,91.95392491467577,85.48355887372014,50.20051194539249,72.8882252559727,78.23030656996586,94.88054607508532,PÄ°YASA LÄ°DERÄ°
32,TAVHL,273.75,8.4158,-0.545,-2.6667,44.4444,1.362,0.283,1.4919,0.9126,1.0479,3.7586,20.477,0.92,0.08,89.16382252559728,81.26958457337884,53.32764505119454,80.75938566552901,78.1155170102389,94.7098976109215,PÄ°YASA LÄ°DERÄ°
33,GSDDE,13.48,3.8521,2.4316,0.4471,43.75,0.527,1.2916,1.0436,0.8928,1.6021,5.8181,21.5139,0.9789,0.0211,92.2952218430034,80.35196245733789,53.8353242320819,75.02559726962457,77.91173208191125,94.53924914675767,PÄ°YASA LÄ°DERÄ°
34,SAHOL,90.6,7.4733,-4.4304,0.2767,43.8356,-1.4835,-1.283,1.3616,1.0203,1.2009,3.8158,19.5626,0.9041,0.0959,87.02218430034131,77.57405365187714,60.04266211604096,80.34129692832764,77.58928094197952,94.36860068259386,PÄ°YASA LÄ°DERÄ°
35,EPLAS,5.93,2.9514,5.8929,3.3101,46.7836,0.793,2.1568,1.5084,1.448,0.9744,7.1308,38.6194,0.7391,0.2609,94.16382252559727,83.81684409556314,67.14590443686006,48.6518771331058,77.46399520819112,94.19795221843003,PÄ°YASA LÄ°DERÄ°
36,EGEEN,5815.0,-4.201,6.1131,10.237,60.2222,3.9451,5.859,1.1799,2.1001,1.0919,6.455,43.3108,0.0588,0.1765,87.94368600682594,97.61998587030718,65.79351535836177,35.45221843003413,76.96807767235497,94.02730375426621,PÄ°YASA LÄ°DERÄ°
