feature,base_weight,recommended_weight,change,sample_count,correlation_5d,spread_5d,direction
v8_score,20.0,21.509,1.509,300,0.08312,2.352,ARTIR
smart_money_score,18.0,18.446,0.446,594,0.01,0.812,ARTIR
institutional_score,16.0,15.02,-0.98,300,-0.04833,-1.573,AZALT
historical_support_score,12.0,11.669,-0.331,153,0.03185,-0.916,KORU
prediction_score,10.0,9.979,-0.021,147,-0.00492,-0.003,KORU
live_confirmation_score,8.0,7.581,-0.419,147,-0.00233,-0.82,AZALT
relationship_score,6.0,5.784,-0.216,147,-0.07568,0.174,KORU
rsi,4.0,4.655,0.655,594,0.04852,0.923,ARTIR
volume_ratio,4.0,4.135,0.135,594,0.01355,0.162,KORU
ema20_distance,2.0,2.267,0.267,594,0.02785,0.311,KORU
