pattern_id,source_decision,feature,direction,threshold_low,threshold_high,sample_count,success_count,success_rate,average_return_5d,average_return_10d,average_return_15d,average_max_return_15d,recommended_bonus,confidence_class,active,version
V30-0001,ELE,v27_master_score,LOW,,38.9,13,6,46.15,0.58,4.24,5.74,9.58,1.92,DÜŞÜK,False,V30.0
V30-0002,ELE,v27_master_score,HIGH,38.9,,12,6,50.0,0.59,2.04,-0.37,7.82,0.6,DÜŞÜK,False,V30.0
V30-0003,ELE,v22_signal_score,LOW,,52.63,13,6,46.15,0.98,4.65,4.83,9.85,1.68,DÜŞÜK,False,V30.0
V30-0004,ELE,v22_signal_score,HIGH,52.63,,12,6,50.0,0.16,1.59,0.74,7.53,0.7,DÜŞÜK,False,V30.0
V30-0005,ELE,v24_score,LOW,,50.0,25,12,48.0,0.59,3.18,2.99,8.74,1.83,DÜŞÜK,False,V30.0
V30-0006,ELE,optimized_weight_pct,LOW,,0.0,25,12,48.0,0.59,3.18,2.99,8.74,1.83,DÜŞÜK,False,V30.0
V30-0007,ELE,optimizer_score,LOW,,0.0,25,12,48.0,0.59,3.18,2.99,8.74,1.83,DÜŞÜK,False,V30.0
V30-0008,ELE,top_pick_score,LOW,,54.98,13,6,46.15,0.53,3.87,4.77,9.26,1.67,DÜŞÜK,False,V30.0
V30-0009,ELE,top_pick_score,HIGH,54.98,,12,6,50.0,0.65,2.44,0.81,8.17,0.72,DÜŞÜK,False,V30.0
V30-0010,ELE,ai_final_score,LOW,,60.29,13,6,46.15,0.93,4.53,5.32,10.96,1.94,DÜŞÜK,False,V30.0
V30-0011,ELE,ai_final_score,HIGH,60.29,,12,6,50.0,0.21,1.72,-0.51,6.33,0.6,DÜŞÜK,False,V30.0
V30-0012,ELE,consensus_score,LOW,,48.02,13,8,61.54,2.24,5.83,4.12,12.6,3.13,DÜŞÜK,False,V30.0
V30-0013,ELE,consensus_score,HIGH,48.02,,12,4,33.33,-1.21,0.3,1.29,4.56,0.8,DÜŞÜK,False,V30.0
V30-0014,ELE,quality_score,LOW,,50.0,25,12,48.0,0.59,3.18,2.99,8.74,1.83,DÜŞÜK,False,V30.0
V30-0015,ELE,risk_score,LOW,,38.0,13,6,46.15,-0.06,1.39,-0.25,6.78,0.65,DÜŞÜK,False,V30.0
V30-0016,ELE,risk_score,HIGH,38.0,,12,6,50.0,1.29,4.83,6.95,10.86,2.26,DÜŞÜK,False,V30.0
V30-0017,ELE,market_percentile,LOW,,94.18,13,4,30.77,-1.04,2.27,1.9,5.49,0.67,DÜŞÜK,False,V30.0
V30-0018,ELE,market_percentile,HIGH,94.18,,12,8,66.67,2.35,4.02,3.88,12.26,4.02,DÜŞÜK,False,V30.0
V30-0019,ELE,timing_confidence,LOW,,87.32,13,5,38.46,-1.13,1.54,1.27,6.45,0.66,DÜŞÜK,False,V30.0
V30-0020,ELE,timing_confidence,HIGH,87.32,,12,7,58.33,2.45,4.98,4.71,11.22,2.92,DÜŞÜK,False,V30.0
V30-0021,ELE,expected_return,LOW,,0.38,13,6,46.15,-0.4,2.46,3.82,7.82,1.35,DÜŞÜK,False,V30.0
V30-0022,ELE,expected_return,HIGH,0.38,,12,6,50.0,1.66,3.98,2.16,9.73,1.06,DÜŞÜK,False,V30.0
V30-0023,ELE,downside_20pct,LOW,,-3.52,13,4,30.77,-0.94,0.32,0.21,4.44,0.65,DÜŞÜK,False,V30.0
V30-0024,ELE,downside_20pct,HIGH,-3.52,,12,8,66.67,2.25,5.81,4.84,13.4,4.34,DÜŞÜK,False,V30.0
V30-0025,ELE,upside_80pct,LOW,,3.43,13,6,46.15,1.2,2.52,3.85,7.75,1.36,DÜŞÜK,False,V30.0
V30-0026,ELE,upside_80pct,HIGH,3.43,,12,6,50.0,-0.07,3.91,2.13,9.81,1.06,DÜŞÜK,False,V30.0
V30-0027,ELE,rsi,LOW,,0.0,25,12,48.0,0.59,3.18,2.99,8.74,1.83,DÜŞÜK,False,V30.0
V30-0028,ELE,volume_ratio,LOW,,0.0,25,12,48.0,0.59,3.18,2.99,8.74,1.83,DÜŞÜK,False,V30.0
V30-0029,ELE,ema20_distance,LOW,,0.0,25,12,48.0,0.59,3.18,2.99,8.74,1.83,DÜŞÜK,False,V30.0
V30-0030,ELE,smart_money_score,LOW,,0.0,25,12,48.0,0.59,3.18,2.99,8.74,1.83,DÜŞÜK,False,V30.0
V30-0031,ELE,institutional_score,LOW,,0.0,25,12,48.0,0.59,3.18,2.99,8.74,1.83,DÜŞÜK,False,V30.0
V30-0032,ELE,historical_support_score,LOW,,0.0,25,12,48.0,0.59,3.18,2.99,8.74,1.83,DÜŞÜK,False,V30.0
V30-0033,ELE,prediction_score,LOW,,0.0,25,12,48.0,0.59,3.18,2.99,8.74,1.83,DÜŞÜK,False,V30.0
V30-0034,ELE,live_confirmation_score,LOW,,0.0,25,12,48.0,0.59,3.18,2.99,8.74,1.83,DÜŞÜK,False,V30.0
V30-0035,ELE,relationship_score,LOW,,0.0,25,12,48.0,0.59,3.18,2.99,8.74,1.83,DÜŞÜK,False,V30.0
V30-0036,ELE,v8_score,LOW,,0.0,25,12,48.0,0.59,3.18,2.99,8.74,1.83,DÜŞÜK,False,V30.0
V30-0037,PASİF İZLEME,v27_master_score,LOW,,41.475,5,1,20.0,2.1,0.63,1.98,6.78,1.02,DÜŞÜK,False,V30.0
V30-0038,PASİF İZLEME,v27_master_score,HIGH,41.475,,5,0,0.0,-3.72,-3.01,-3.06,2.37,0.25,DÜŞÜK,False,V30.0
V30-0039,PASİF İZLEME,v22_signal_score,LOW,,57.35,5,1,20.0,1.42,0.56,3.26,7.22,1.18,DÜŞÜK,False,V30.0
V30-0040,PASİF İZLEME,v22_signal_score,HIGH,57.35,,5,0,0.0,-3.04,-2.94,-7.5,1.92,0.25,DÜŞÜK,False,V30.0
V30-0041,PASİF İZLEME,v24_score,LOW,,50.0,10,1,10.0,-0.81,-1.19,-1.04,4.57,0.61,DÜŞÜK,False,V30.0
V30-0042,PASİF İZLEME,optimized_weight_pct,LOW,,0.0,10,1,10.0,-0.81,-1.19,-1.04,4.57,0.61,DÜŞÜK,False,V30.0
V30-0043,PASİF İZLEME,optimizer_score,LOW,,0.0,10,1,10.0,-0.81,-1.19,-1.04,4.57,0.61,DÜŞÜK,False,V30.0
V30-0044,PASİF İZLEME,top_pick_score,LOW,,59.86,5,1,20.0,1.42,0.56,3.26,7.22,1.18,DÜŞÜK,False,V30.0
