v33_3_rank,symbol,v33_3_decision,v33_3_score,v33_3_confidence,v33_score,prescan_score,similar_day_count,positive_1d_rate,positive_3d_rate,positive_5d_rate,average_return_1d,average_return_3d,average_return_5d,median_return_5d,best_return_5d,worst_return_5d,return_range_5d,downside_penalty,consistency_score,current_technical_score,historical_quality_score,risk_score,risk_class,risk_available,risk_source,regime,regime_confidence,market_percentile,timing_confidence,timing_available,timing_source,close,return_1d,return_5d,return_20d,ema20_distance,volume_ratio,prescan_class,supporting_factors,risk_notes,v33_3_reason,rsi_usage
1,SAHOL,AKTİF İZLEME,77.82,74.36,61.28,95.39,12,50.0,58.33,58.33,0.05,0.53,2.34,2.67,8.27,-3.94,12.21,0.0,74.03,88.0,58.74,,VERI YOK,False,VERI_YOK,YATAY,79.51,81.56996587030717,,False,VERI_YOK,96.05,-0.4663,3.0579,9.6461,3.758,1.2511,UST ADAY,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,Tarihsel benzerlik ve mevcut teknik yapı aktif takip için yeterli; ancak gerçek V20 risk verisi olmadığı için üst düzey teyit verilmedi,DISABLED
2,EBEBK,AKTİF İZLEME,77.67,74.77,62.29,93.58,12,50.0,58.33,66.67,0.53,0.82,1.65,1.31,7.87,-5.01,12.88,3.0,72.53,92.0,60.54,,VERI YOK,False,VERI_YOK,YATAY,79.51,92.320819112628,,False,VERI_YOK,83.5,2.7692,1.0896,5.7631,1.3202,2.9376,UST ADAY,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı | Piyasa göreli gücü yüksek,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,Tarihsel benzerlik ve mevcut teknik yapı aktif takip için yeterli; ancak gerçek V20 risk verisi olmadığı için üst düzey teyit verilmedi,DISABLED
3,AKBNK,AKTİF İZLEME,74.96,72.23,61.43,93.36,12,50.0,66.67,58.33,-0.03,0.41,2.21,3.78,8.74,-5.85,14.59,3.0,75.62,76.0,60.49,,VERI YOK,False,VERI_YOK,YATAY,79.51,84.64163822525597,,False,VERI_YOK,72.95,-2.6684,1.3899,10.2797,2.3635,2.1539,UST ADAY,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,Tarihsel benzerlik ve mevcut teknik yapı aktif takip için yeterli; ancak gerçek V20 risk verisi olmadığı için üst düzey teyit verilmedi,DISABLED
4,TRCAS,AKTİF İZLEME,71.8,68.45,57.29,96.23,12,50.0,33.33,58.33,-0.63,-0.26,0.93,0.7,7.76,-3.35,11.11,0.0,63.89,92.0,51.7,,VERI YOK,False,VERI_YOK,YATAY,79.51,94.53924914675768,,False,VERI_YOK,49.76,1.5925,4.7579,11.0219,5.5258,1.215,UST ADAY,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı | Piyasa göreli gücü yüksek,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,Tarihsel benzerlik ve mevcut teknik yapı aktif takip için yeterli; ancak gerçek V20 risk verisi olmadığı için üst düzey teyit verilmedi,DISABLED
5,PAHOL,AKTİF İZLEME,71.68,68.86,58.63,94.88,9,22.22,44.44,66.67,-0.39,0.8,1.57,0.76,6.11,-1.31,7.42,0.0,71.99,84.0,52.46,,VERI YOK,False,VERI_YOK,YATAY,79.51,79.5221843003413,,False,VERI_YOK,1.33,0.0,1.5267,2.3077,0.1569,2.1005,UST ADAY,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,Tarihsel benzerlik ve mevcut teknik yapı aktif takip için yeterli; ancak gerçek V20 risk verisi olmadığı için üst düzey teyit verilmedi,DISABLED
6,YIGIT,AKTİF İZLEME,71.26,68.43,59.98,95.14,12,33.33,58.33,58.33,0.67,1.32,0.95,0.43,8.7,-5.31,14.01,3.0,61.79,88.0,56.11,,VERI YOK,False,VERI_YOK,YATAY,79.51,80.54607508532423,,False,VERI_YOK,22.16,-0.0902,0.2715,6.0287,1.4742,1.218,UST ADAY,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,Tarihsel benzerlik ve mevcut teknik yapı aktif takip için yeterli; ancak gerçek V20 risk verisi olmadığı için üst düzey teyit verilmedi,DISABLED
7,MNDRS,TEYİT BEKLE,74.99,70.55,62.19,96.54,12,50.0,58.33,50.0,0.95,2.64,3.32,1.28,16.47,-8.49,24.96,6.0,64.1,88.0,58.25,,VERI YOK,False,VERI_YOK,YATAY,79.51,86.17747440273038,,False,VERI_YOK,11.58,-1.1102,2.4779,11.5607,1.9934,1.6027,UST ADAY,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı | Piyasa göreli gücü yüksek,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,Genel görünüm olumlu ancak gerçek risk verisi yok ve zamanlama verisi yok; daha güçlü doğrulama bekleniyor,DISABLED
8,PGSUS,TEYİT BEKLE,68.23,62.53,56.5,96.29,12,33.33,50.0,50.0,-0.51,0.2,0.56,-0.05,7.34,-2.96,10.3,0.0,46.68,88.0,50.51,,VERI YOK,False,VERI_YOK,YATAY,79.51,85.15358361774744,,False,VERI_YOK,154.7,-0.5145,1.8433,3.34,1.7745,1.379,UST ADAY,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı | Piyasa göreli gücü yüksek,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,Genel görünüm olumlu ancak gerçek risk verisi yok ve zamanlama verisi yok; daha güçlü doğrulama bekleniyor,DISABLED
9,EUREN,TEYİT BEKLE,68.19,62.24,57.05,98.12,12,41.67,50.0,50.0,-0.93,0.26,-0.15,0.52,7.69,-6.09,13.78,3.0,43.21,92.0,50.91,,VERI YOK,False,VERI_YOK,YATAY,79.51,92.4914675767918,,False,VERI_YOK,4.02,1.2594,4.4156,6.6313,2.9817,1.4172,UST ADAY,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı | Piyasa göreli gücü yüksek,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,Genel görünüm olumlu ancak gerçek risk verisi yok ve zamanlama verisi yok; daha güçlü doğrulama bekleniyor,DISABLED
10,ALTNY,TEYİT BEKLE,63.87,57.46,55.75,93.93,12,33.33,50.0,41.67,0.23,1.83,0.91,-0.55,19.06,-6.45,25.51,3.0,28.38,88.0,49.59,,VERI YOK,False,VERI_YOK,YATAY,79.51,85.32423208191126,,False,VERI_YOK,18.14,-0.22,3.9541,10.7448,4.2809,1.3826,UST ADAY,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı | Piyasa göreli gücü yüksek,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,Genel görünüm olumlu ancak gerçek risk verisi yok ve zamanlama verisi yok; daha güçlü doğrulama bekleniyor,DISABLED
