tracking_date,symbol,v33_3_rank,v33_3_decision,v33_3_score,v33_3_confidence,reference_price,price_d1,return_d1,price_d2,return_d2,price_d3,return_d3,price_d5,return_d5,max_return,min_return,hit_3pct,hit_5pct,hit_7pct,hit_9pct,result_class,tracking_status,prescan_score,v33_score,positive_5d_rate,average_return_5d,median_return_5d,worst_return_5d,current_technical_score,historical_quality_score,consistency_score,risk_score,risk_class,regime,regime_confidence,market_percentile,timing_confidence,rsi_usage,tracker_version
2026-08-13,FENER,1.0,AKTİF İZLEME,78.66,76.7,3.18,,,,,,,,,,,False,False,False,False,BEKLIYOR,AKTIF,94.79,64.28,58.33,5.26,10.92,-9.5,88.0,65.35,78.3,,VERI YOK,YATAY,77.62,86.36363636363636,,DISABLED,V33.4
2026-08-13,DOCO,2.0,AKTİF İZLEME,78.58,75.57,11600.0,,,,,,,,,,,False,False,False,False,BEKLIYOR,AKTIF,97.47,62.72,58.33,3.72,3.35,-5.51,88.0,59.57,78.86,,VERI YOK,YATAY,77.62,89.87603305785123,,DISABLED,V33.4
2026-08-13,AYES,3.0,AKTİF İZLEME,75.3,72.79,30.98,,,,,,,,,,,False,False,False,False,BEKLIYOR,AKTIF,91.98,59.29,66.67,3.37,3.31,-5.64,84.0,57.25,78.69,,VERI YOK,YATAY,77.62,78.71900826446281,,DISABLED,V33.4
2026-08-13,AKCNS,4.0,AKTİF İZLEME,75.19,73.17,245.6,,,,,,,,,,,False,False,False,False,BEKLIYOR,AKTIF,91.03,60.56,66.67,3.28,3.56,-5.31,76.0,59.37,84.17,,VERI YOK,YATAY,77.62,77.06611570247934,,DISABLED,V33.4
2026-08-13,OYAKC,5.0,AKTİF İZLEME,69.79,67.97,21.52,,,,,,,,,,,False,False,False,False,BEKLIYOR,AKTIF,95.42,58.76,66.67,0.98,0.46,-13.86,92.0,54.81,64.82,39.0,ORTA,YATAY,77.62,94.62809917355372,88.08,DISABLED,V33.4
2026-08-13,SEGMN,6.0,TEYİT BEKLE,66.69,62.86,54.4,,,,,,,,,,,False,False,False,False,BEKLIYOR,AKTIF,90.56,57.82,50.0,0.2,0.27,-4.21,80.0,54.37,53.06,,VERI YOK,YATAY,77.62,95.0413223140496,,DISABLED,V33.4
2026-08-13,NTHOL,7.0,TEYİT BEKLE,63.03,60.02,45.46,,,,,,,,,,,False,False,False,False,BEKLIYOR,AKTIF,91.53,57.14,50.0,0.77,0.26,-7.15,66.0,52.82,53.39,,VERI YOK,YATAY,77.62,79.33884297520662,,DISABLED,V33.4
2026-08-13,SAHOL,8.0,TEYİT BEKLE,61.05,55.11,88.8,,,,,,,,,,,False,False,False,False,BEKLIYOR,AKTIF,92.87,53.16,41.67,0.52,-1.44,-8.61,84.0,46.45,30.86,,VERI YOK,YATAY,77.62,71.48760330578511,,DISABLED,V33.4
2026-08-13,ISFIN,9.0,TEYİT BEKLE,60.08,51.85,20.7,,,,,,,,,,,False,False,False,False,BEKLIYOR,AKTIF,96.07,48.6,33.33,-0.88,-1.0,-3.68,88.0,37.99,22.0,,VERI YOK,YATAY,77.62,84.29752066115702,,DISABLED,V33.4
2026-08-13,PEKGY,10.0,TEYİT BEKLE,59.94,56.95,15.3,,,,,,,,,,,False,False,False,False,BEKLIYOR,AKTIF,91.42,56.56,58.33,-1.79,2.42,-24.94,84.0,54.29,41.36,,VERI YOK,YATAY,77.62,95.45454545454544,,DISABLED,V33.4
