prescan_rank,symbol,prescan_score,prescan_class,close,return_1d,return_5d,return_20d,ema20_distance,volume_ratio,market_percentile,timing_confidence,timing_available,timing_source,risk_score,risk_class,risk_available,risk_source,regime,regime_confidence,v22_signal_state,v22_signal_score,v27_decision,v27_master_score,v32_decision,v32_score,v32_confidence,supporting_factors,risk_notes,rsi_usage
1,FENER,99.56,UST ADAY,3.21,1.9048,3.5484,3.8835,2.5412,1.5266,86.25,87.57,True,V20,27.0,ORTA,True,V20,YATAY,74.81,TEYİT BEKLE,63.87,TEYİT BEKLE,46.14,PASİF İZLEME,49.64,45.34,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı | Piyasa göreli gücü yüksek | V18 gÃ¼ven puanÄ± gÃ¼Ã§lÃ¼ | Analiz motorlarÄ± aynÄ± yÃ¶nde | Zamanlama motoru yeterli gÃ¼ven Ã¼retti | Benzer tarihsel Ã¶rneklerin pozitif oranÄ± yÃ¼ksek,Piyasa rejimi yatay | Motorlar yüksek uyumda | Tarihsel aşağı yön sınırlı | Zamanlama güveni yüksek,DISABLED
2,VAKKO,98.12,UST ADAY,69.3,2.1371,4.6038,6.6154,1.7051,1.4441,92.5,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı | Piyasa göreli gücü yüksek,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
3,AKSGY,96.35,UST ADAY,10.32,0.9785,2.6866,12.1739,4.6002,1.2136,95.0,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı | Piyasa göreli gücü yüksek,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
4,NUHCM,95.68,UST ADAY,221.2,1.7011,2.5023,1.9825,0.9367,1.9682,82.70833333333333,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
5,MARBL,95.31,UST ADAY,12.79,2.1565,5.2675,5.9652,3.6122,2.2886,81.25,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
6,RGYAS,94.75,UST ADAY,213.0,1.6706,4.1056,5.9701,4.0803,1.0552,93.54166666666669,93.42,True,V20,30.0,ORTA,True,V20,YATAY,74.81,ELE,55.44,ELE,40.58,PASİF İZLEME,41.08,39.58,5 günlük momentum kontrollü | EMA20 konumu uygun | Piyasa göreli gücü yüksek | GÃ¶reli gÃ¼Ã§te piyasanÄ±n Ã¼st %10 diliminde | V18 gÃ¼ven puanÄ± gÃ¼Ã§lÃ¼ | Zamanlama motoru yeterli gÃ¼ven Ã¼retti,Piyasa rejimi yatay | V18 güveni yüksek | Motorlar arasında uyumsuzluk var | Göreli güç yüksek | Piyasanın üst %10 diliminde | Zamanlama güveni yüksek,DISABLED
7,DOHOL,94.5,UST ADAY,21.86,3.9962,3.3081,3.016,3.1414,1.2536,85.20833333333333,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı | Piyasa göreli gücü yüksek,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
8,VAKFA,94.11,UST ADAY,11.42,-1.1255,3.8182,3.0686,2.1687,1.3758,76.45833333333333,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
9,EKOS,93.44,UST ADAY,5.6,1.8182,2.0036,2.5641,0.0147,1.3193,73.75,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
10,ULUUN,92.94,UST ADAY,8.7,3.9427,3.5714,4.8193,2.6556,1.2339,78.95833333333333,,False,VERI_YOK,,VERI YOK,False,VERI_YOK,YATAY,74.81,,0.0,,0.0,,0.0,0.0,5 günlük momentum kontrollü | EMA20 konumu uygun | Hacim artışı sağlıklı,V20 risk verisi mevcut değil | V19/V20 zamanlama verisi mevcut değil,DISABLED
