v33_rank,symbol,v33_decision,v33_score,candidate_pool_score,candidate_sources,similar_day_count,positive_1d_rate,positive_3d_rate,positive_5d_rate,average_return_1d,average_return_3d,average_return_5d,median_return_1d,median_return_3d,median_return_5d,best_return_5d,worst_return_5d,v22_signal_state,v22_signal_score,v27_decision,v27_master_score,v32_decision,v32_score,v32_confidence,risk_class,risk_score,regime,market_percentile,timing_confidence,expected_return,downside_20pct,upside_80pct,close,v33_reason,rsi_usage
1,GATEG,BENZER GÜN AKTİF İZLEME,71.11,89.48,V33_PRESCAN,12,100.0,58.33,75.0,3.09,3.97,5.17,2.23,3.2,4.91,19.55,-15.55,,0.0,,0.0,,0.0,0.0,VERI YOK,50.0,YATAY,57.91666666666667,0.0,0.0,0.0,0.0,289.5,Benzer geçmiş piyasa günleri adayı istatistiksel olarak destekliyor,DISABLED
2,VAKBN,BENZER GÜN AKTİF İZLEME,68.48,96.15,V33_PRESCAN,12,75.0,66.67,66.67,1.79,2.08,4.35,0.96,2.99,4.86,19.01,-5.83,,0.0,,0.0,,0.0,0.0,VERI YOK,50.0,YATAY,95.41666666666669,0.0,0.0,0.0,0.0,32.2,Benzer geçmiş piyasa günleri adayı istatistiksel olarak destekliyor,DISABLED
3,AKCNS,BENZER GÜN AKTİF İZLEME,66.49,93.06,V33_PRESCAN,12,58.33,41.67,91.67,0.61,0.48,3.83,0.16,-0.67,2.67,16.41,-3.63,,0.0,,0.0,,0.0,0.0,VERI YOK,50.0,YATAY,85.20833333333333,0.0,0.0,0.0,0.0,248.6,Benzer geçmiş piyasa günleri adayı istatistiksel olarak destekliyor,DISABLED
4,ISCTR,BENZER GÜN AKTİF İZLEME,63.31,91.35,V33_PRESCAN,12,58.33,66.67,66.67,1.33,0.19,1.75,1.0,2.35,3.29,11.95,-10.3,,0.0,,0.0,,0.0,0.0,VERI YOK,50.0,YATAY,65.41666666666667,0.0,0.0,0.0,0.0,12.75,Benzer geçmiş piyasa günleri adayı istatistiksel olarak destekliyor,DISABLED
5,GARAN,BENZER GÜN AKTİF İZLEME,62.35,90.77,V33_PRESCAN,12,58.33,58.33,66.67,1.2,0.74,1.53,1.37,1.42,2.54,8.17,-5.08,,0.0,,0.0,,0.0,0.0,VERI YOK,50.0,YATAY,76.04166666666666,0.0,0.0,0.0,0.0,133.0,Benzer geçmiş piyasa günleri adayı istatistiksel olarak destekliyor,DISABLED
6,PENTA,BENZER GÜN AKTİF İZLEME,60.31,92.43,V33_PRESCAN,12,50.0,58.33,58.33,0.22,0.98,1.5,0.09,1.77,2.66,11.45,-9.51,,0.0,,0.0,,0.0,0.0,VERI YOK,50.0,YATAY,87.70833333333333,0.0,0.0,0.0,0.0,13.76,Benzer geçmiş piyasa günleri adayı istatistiksel olarak destekliyor,DISABLED
7,BIENY,BENZER GÜN TEYİT BEKLE,59.4,94.01,V33_PRESCAN,12,75.0,50.0,50.0,1.19,0.18,-0.06,0.86,0.49,-0.04,14.42,-9.16,,0.0,,0.0,,0.0,0.0,ORTA,39.0,YATAY,96.45833333333331,88.09,0.0,0.0,0.0,22.52,Benzer gün görünümü kısmen olumlu fakat aktif izleme için yeterli güven oluşmadı,DISABLED
8,HUNER,BENZER GÜN TEYİT BEKLE,59.19,96.43,V33_PRESCAN,12,58.33,50.0,50.0,0.37,0.53,0.95,0.27,0.85,0.29,7.06,-3.85,,0.0,,0.0,,0.0,0.0,VERI YOK,50.0,YATAY,92.91666666666669,0.0,0.0,0.0,0.0,3.88,Benzer gün görünümü kısmen olumlu fakat aktif izleme için yeterli güven oluşmadı,DISABLED
9,EKSUN,BENZER GÜN TEYİT BEKLE,58.92,92.11,V33_PRESCAN,12,58.33,58.33,50.0,0.19,1.42,0.36,0.96,1.32,-0.14,8.05,-9.09,,0.0,,0.0,,0.0,0.0,VERI YOK,50.0,YATAY,86.45833333333334,0.0,0.0,0.0,0.0,6.56,Benzer gün görünümü kısmen olumlu fakat aktif izleme için yeterli güven oluşmadı,DISABLED
10,AHGAZ,BENZER GÜN TEYİT BEKLE,58.39,95.12,V33_PRESCAN+V22+V27+V32,12,58.33,58.33,41.67,0.48,0.86,0.85,1.19,1.01,-0.75,10.44,-6.38,TEYİT BEKLE,65.87,TEYİT BEKLE,46.83,PASİF İZLEME,51.33,43.75,DÜŞÜK,15.0,YATAY,96.875,82.64,0.0,0.0,0.0,37.04,Benzer gün görünümü kısmen olumlu fakat aktif izleme için yeterli güven oluşmadı,DISABLED
