signal_date,recorded_at,symbol,signal_price,rank,smart_money_score,selection_score,classification,rsi,atr_pct,volume_ratio,volume_accumulation_ratio,up_down_volume_ratio,range_20_pct,close_position,upper_wick_ratio,distance_to_high_20,ema20_distance,return_1d,return_5d_at_signal,return_10d_at_signal,return_20d_at_signal,trend_score,volume_score,compression_score,candle_score,momentum_score,liquidity_score,risk_penalty,positive_reasons,risk_reasons,result_1d,result_3d,result_5d,result_10d,max_result_5d,min_result_5d,max_result_10d,min_result_10d,hit_3pct_5d,hit_5pct_10d,status
2026-08-03,2026-08-03 13:27:32,GOZDE,23.98,1,70,46.3,GÜÇLÜ ADAY,58.27,3.41,0.96,0.62,1.81,14.69,0.91,0.09,5.37,3.49,2.48,4.35,5.18,-2.91,20,7,15,10,15,3,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Yükselen gün hacmi baskın | Güçlü sıkışma %14.7 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 58.3 | Erken momentum,Belirgin risk yok,,,,,,,,,,,bekliyor
2026-08-03,2026-08-03 13:27:32,PRZMA,71.55,2,66,44.3,GÜÇLÜ ADAY,58.45,7.55,3.2,0.62,1.88,23.08,0.92,0.08,10.56,3.99,2.21,-2.65,2.73,-6.53,20,17,5,10,9,5,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Güçlü hacim 3.20x | Yükselen gün hacmi baskın | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 58.5,Belirgin risk yok,,,,,,,,,,,bekliyor
2026-08-03,2026-08-03 13:27:32,CATES,48.62,3,65,43.45,GÜÇLÜ ADAY,72.81,4.3,0.43,1.34,2.93,23.0,0.96,0.04,0.33,8.7,5.88,7.28,8.0,17.78,20,17,0,10,13,5,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim birikimi var | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü kapanış | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,,,,,,,,,,,bekliyor
2026-07-31,2026-07-31 12:29:25,ANHYT,110.8,1,72,51.35,GÜÇLÜ ADAY,71.05,2.77,0.4,1.81,6.73,16.65,0.9,0.1,1.77,5.67,1.28,4.63,7.89,8.1,20,20,6,10,13,3,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Kontrollü bant %16.6 | Güçlü kapanış | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,4.96,,,,4.96,4.96,4.96,4.96,1.0,0.0,1g_güncellendi
2026-07-31,2026-07-31 12:29:25,TAVHL,272.0,2,68,48.3,GÜÇLÜ ADAY,51.39,3.38,0.48,1.24,2.3,11.49,0.91,0.09,5.47,1.01,1.59,4.82,2.45,-3.46,6,17,15,10,15,5,0,EMA20 üzerinde | Hacim birikimi var | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %11.5 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 51.4 | Erken momentum,Belirgin risk yok,2.67,,,,2.67,2.67,2.67,2.67,0.0,0.0,1g_güncellendi
2026-07-31,2026-07-31 12:29:25,GENIL,9.28,3,72,45.1,GÜÇLÜ ADAY,52.78,4.27,0.31,0.72,1.2,14.63,1.0,0.0,5.98,1.05,2.54,0.76,0.43,0.98,20,4,15,10,18,5,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Güçlü sıkışma %14.6 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 52.8 | Erken momentum,Belirgin risk yok,0.43,,,,0.43,0.43,0.43,0.43,0.0,0.0,1g_güncellendi
2026-07-30,2026-07-30 12:18:42,OYAKC,20.98,1,84,58.6,ELİT ADAY,52.07,3.1,0.5,1.38,1.64,10.3,0.88,0.12,3.05,1.15,0.38,0.77,3.35,0.67,14,20,15,10,20,5,0,EMA20 üzerinde | EMA20 eğimi yukarı | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %10.3 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 52.1 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,-2.67,,,,-2.67,-2.67,-2.67,-2.67,0.0,0.0,1g_güncellendi
2026-07-30,2026-07-30 12:18:42,ENJSA,108.9,2,75,52.95,GÜÇLÜ ADAY,56.75,2.95,0.47,2.05,1.59,12.82,0.62,0.38,2.59,2.6,0.65,0.46,7.5,5.83,14,20,10,6,20,5,0,EMA20 üzerinde | EMA20 eğimi yukarı | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %12.8 | RSI sağlıklı bölgede 56.8 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,-0.18,,,,-0.18,-0.18,-0.18,-0.18,0.0,0.0,1g_güncellendi
2026-07-30,2026-07-30 12:18:42,GMTAS,46.98,3,73,51.95,GÜÇLÜ ADAY,55.15,4.4,0.22,1.47,3.41,16.63,0.6,0.4,5.66,2.33,0.26,1.69,6.05,3.98,20,20,6,6,18,3,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Kontrollü bant %16.6 | RSI sağlıklı bölgede 55.2 | Erken momentum,Belirgin risk yok,-3.7,,,,-3.7,-3.7,-3.7,-3.7,0.0,0.0,1g_güncellendi
2026-07-29,2026-07-29 12:26:10,EGEPO,18.94,1,79,55.8,GÜÇLÜ ADAY,51.19,4.19,0.35,1.56,2.21,13.98,0.87,0.13,5.96,0.49,1.28,-0.89,3.61,3.22,16,20,15,10,15,3,0,EMA20 üzerinde | Orta vadeli trend pozitif | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %14.0 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 51.2,Belirgin risk yok,-4.33,,,,-3.54,-4.33,-3.54,-4.33,0.0,0.0,1g_güncellendi
2026-07-29,2026-07-29 12:26:10,GMTAS,47.08,2,76,53.7,GÜÇLÜ ADAY,55.44,4.51,0.37,1.31,3.3,16.63,0.86,0.14,5.46,2.76,1.55,-1.67,6.85,3.84,20,17,11,10,15,3,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim birikimi var | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Kontrollü bant %16.6 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 55.4,Belirgin risk yok,-0.17,,,,-0.17,-3.91,-0.17,-3.91,0.0,0.0,1g_güncellendi
2026-07-29,2026-07-29 12:26:10,CATES,46.6,3,75,52.75,GÜÇLÜ ADAY,66.95,4.22,0.44,1.47,1.65,23.0,0.88,0.12,4.47,5.44,1.13,3.79,1.75,14.55,20,20,0,10,20,5,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü kapanış | RSI sağlıklı bölgede 66.9 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,-1.46,,,,4.46,-1.46,4.46,-1.46,1.0,0.0,1g_güncellendi
2026-07-28,2026-07-28 12:22:00,ANHYT,106.7,1,79,56.05,GÜÇLÜ ADAY,62.58,2.58,1.42,1.51,5.37,12.1,0.63,0.37,0.47,3.54,0.66,4.3,9.49,4.3,14,26,10,6,20,3,0,EMA20 üzerinde | EMA20 eğimi yukarı | Hacim ortalamanın üzerinde 1.42x | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %12.1 | RSI sağlıklı bölgede 62.6 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,2.44,9.0,,,9.0,2.44,9.0,2.44,1.0,1.0,3g_güncellendi
