rank,symbol,valid,eligible,classification,smart_money_score,close,volume,average_turnover_tl,rsi,atr_pct,ema20_distance,volume_ratio,volume_accumulation_ratio,up_down_volume_ratio,range_20_pct,close_position,upper_wick_ratio,distance_to_high_20,return_1d,return_5d,return_10d,return_20d,positive_reasons,risk_reasons,trend_score,volume_score,compression_score,candle_score,momentum_score,liquidity_score,risk_penalty,selection_score,elite_priority,source,signal_date,signal_price,return_5d_at_signal,return_10d_at_signal,return_20d_at_signal,result_1d,result_3d,result_5d,result_10d,max_result_5d,min_result_5d,max_result_10d,min_result_10d,hit_3pct_5d,hit_5pct_10d,status
1,BIMAS,True,True,GÜÇLÜ ADAY,74,159.75,8031230,1046177494.76,58.65,3.29,3.76,1.18,0.95,3.98,12.34,0.62,0.38,2.29,0.16,6.15,6.15,1.03,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim ortalamanın üzerinde 1.18x | Yükselen gün hacmi baskın | Güçlü sıkışma %12.3 | RSI sağlıklı bölgede 58.7 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,20,13,10,6,20,5,0,48.95,0,historical_backfill,2024-01-09,159.75,6.15,6.15,1.03,-0.39,4.85,4.85,12.99,5.95,-0.39,12.99,-0.39,1,1,tamamlandı
2,GARAN,True,True,GÜÇLÜ ADAY,73,62.6,60396241,2051255769.04,62.81,4.18,6.86,1.77,0.86,2.11,17.37,0.55,0.45,2.49,0.81,6.37,8.49,10.89,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Güçlü hacim 1.77x | Yükselen gün hacmi baskın | Kontrollü bant %17.4 | Volatilite daralıyor | RSI sağlıklı bölgede 62.8 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,20,17,11,0,20,5,0,48.8,0,historical_backfill,2024-01-09,62.6,6.37,8.49,10.89,1.92,8.31,1.84,-3.75,8.31,1.84,8.31,-3.75,1,1,tamamlandı
1,ISDMR,True,True,ELİT ADAY,96,37.66,4921154,107776886.65,64.29,2.47,4.39,1.65,2.02,2.08,10.75,0.68,0.32,0.69,1.29,3.69,9.16,6.08,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Güçlü hacim 1.65x | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %10.7 | Volatilite daralıyor | RSI sağlıklı bölgede 64.3 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,20,30,15,6,20,5,0,67.1,1,historical_backfill,2024-02-06,37.66,3.69,9.16,6.08,0.96,4.57,5.47,9.13,7.43,0.96,10.25,0.96,1,1,tamamlandı
2,EREGL,True,True,ELİT ADAY,93,22.1,303763708,4161445565.05,59.88,2.33,2.48,1.59,1.34,2.62,10.04,0.74,0.26,3.07,1.56,1.98,4.39,3.03,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Güçlü hacim 1.59x | Hacim birikimi var | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %10.0 | Volatilite daralıyor | RSI sağlıklı bölgede 59.9 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,20,27,15,6,20,5,0,65.0,1,historical_backfill,2024-02-06,22.1,1.98,4.39,3.03,1.86,4.89,4.34,12.26,4.98,1.86,12.26,1.86,1,1,tamamlandı
3,OYAKC,True,True,ELİT ADAY,84,16.3718,51789381,675229648.89,60.96,3.29,4.19,1.2,1.25,3.92,15.72,0.79,0.21,3.11,0.87,-2.37,8.13,10.56,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim ortalamanın üzerinde 1.20x | Hacim birikimi var | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Kontrollü bant %15.7 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 61.0 | 20 günlük dirence yakın,Belirgin risk yok,20,23,11,8,17,5,0,59.0,1,historical_backfill,2024-02-06,16.3718,-2.37,8.13,10.56,0.94,2.04,3.76,8.22,4.31,0.94,8.22,0.94,1,1,tamamlandı
1,SELEC,True,True,ELİT ADAY,90,64.0,2422570,174659108.3,56.76,3.77,2.73,0.87,1.71,2.84,12.02,0.89,0.11,3.98,2.4,3.48,3.48,6.67,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %12.0 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 56.8 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,20,20,15,10,20,5,0,62.5,1,historical_backfill,2024-02-20,64.0,3.48,3.48,6.67,-0.7,-1.88,-4.69,-12.5,0.16,-5.23,0.16,-12.5,0,0,tamamlandı
2,OYAKC,True,True,ELİT ADAY,89,17.7179,117268570,971245123.08,66.66,3.59,7.02,2.01,1.61,1.86,20.31,0.76,0.24,0.14,5.18,4.3,8.22,17.02,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Güçlü hacim 2.01x | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Kontrollü bant %20.3 | Güçlü kapanış | RSI sağlıklı bölgede 66.7 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,20,30,6,8,20,5,0,59.45,1,historical_backfill,2024-02-20,17.7179,4.3,8.22,17.02,3.55,6.44,-3.4,-2.32,6.44,-3.4,6.44,-3.4,1,1,tamamlandı
3,TOASO,True,True,ELİT ADAY,82,261.75,6599698,1263995869.91,63.94,2.67,4.09,1.32,1.25,1.36,16.01,0.67,0.33,2.24,1.75,2.45,1.85,12.48,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim ortalamanın üzerinde 1.32x | Hacim birikimi var | Fiyat gitmeden sessiz hacim artışı | Kontrollü bant %16.0 | Volatilite daralıyor | RSI sağlıklı bölgede 63.9 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,20,20,11,6,20,5,0,55.5,1,historical_backfill,2024-02-20,261.75,2.45,1.85,12.48,0.29,5.25,1.62,0.38,5.25,0.29,5.25,-2.58,1,1,tamamlandı
1,CCOLA,True,True,ELİT ADAY,90,635.0,531703,714190790.15,60.15,3.24,2.51,0.47,1.86,6.11,12.64,1.0,0.0,3.71,1.76,0.79,-0.31,5.83,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %12.6 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 60.2 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,20,20,15,10,20,5,0,62.5,1,historical_backfill,2024-03-05,635.0,0.79,-0.31,5.83,-1.34,-1.42,-4.02,-9.45,-1.34,-4.02,-1.34,-12.6,0,0,tamamlandı
2,TRALT,True,True,ELİT ADAY,84,24.4,279649801,2653083033.43,64.53,3.92,7.51,2.43,1.23,1.59,19.26,0.67,0.33,0.08,6.74,10.91,1.58,14.88,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Güçlü hacim 2.43x | Hacim birikimi var | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Kontrollü bant %19.3 | Volatilite daralıyor | RSI sağlıklı bölgede 64.5 | 20 günlük dirence yakın,Belirgin risk yok,20,27,11,6,15,5,0,55.4,1,historical_backfill,2024-03-05,24.4,10.91,1.58,14.88,-3.36,3.28,-1.07,-8.93,3.85,-3.36,3.85,-8.93,1,0,tamamlandı
