leader,follower,lag_days,train_events,train_success_rate,train_average_return,train_baseline_rate,train_uplift,test_events,test_success_rate,test_average_return,test_median_return,test_baseline_rate,test_uplift,relationship_score
AVPGY,TRHOL,5,10,60.0,3.56,26.35,33.65,4,100.0,6.74,6.26,31.22,68.78,77.91
PGSUS,KAPLM,1,13,53.85,3.21,18.61,35.23,4,100.0,5.95,5.42,21.99,78.01,77.58
BRISA,IEYHO,5,21,38.1,1.89,19.56,18.53,4,100.0,6.59,6.61,8.02,91.98,75.68
ENKAI,ADESE,3,14,28.57,2.48,16.83,11.74,4,100.0,7.58,7.58,12.13,87.87,73.42
THYAO,KAPLM,1,14,42.86,2.71,18.61,24.24,4,100.0,5.28,5.14,21.99,78.01,72.73
GOLTS,KUVVA,1,31,32.26,2.37,20.4,11.86,4,100.0,6.67,7.2,17.43,82.57,71.75
IEYHO,DOGUB,1,63,11.11,-0.48,16.63,-5.52,9,100.0,9.95,9.96,31.95,68.05,70.26
BRISA,TRHOL,3,20,30.0,1.31,26.44,3.56,4,100.0,8.29,9.86,30.96,69.04,69.78
NATEN,ANELE,3,40,17.5,0.73,15.51,1.99,4,100.0,8.63,9.94,26.36,73.64,68.47
LOGO,KTLEV,2,18,38.89,1.87,20.8,18.09,4,100.0,4.29,3.53,28.23,71.77,68.28
BRISA,DOGUB,5,21,14.29,-0.28,16.77,-2.48,4,100.0,9.94,9.94,32.49,67.51,68.27
ASUZU,POLTK,5,22,22.73,0.46,17.17,5.56,4,100.0,5.61,4.38,13.92,86.08,68.01
PGSUS,KONTR,1,13,53.85,2.84,15.19,38.66,4,75.0,7.29,9.98,15.77,59.23,67.6
ISGYO,PRZMA,4,25,16.0,-0.53,14.48,1.52,6,100.0,6.88,6.92,25.63,74.37,66.62
THYAO,OZRDN,1,14,21.43,1.27,14.4,7.03,4,100.0,6.6,6.6,28.63,71.37,66.51
BRISA,YGGYO,2,19,21.05,0.33,8.93,12.12,4,100.0,3.97,3.77,12.92,87.08,66.4
BEGYO,GZNMI,5,31,22.58,1.09,18.56,4.02,4,100.0,5.53,5.4,20.25,79.75,66.36
GWIND,KERVN,5,12,16.67,-0.56,17.37,-0.7,4,100.0,7.35,7.3,26.58,73.42,66.04
PGSUS,OZRDN,1,13,23.08,1.3,14.4,8.68,4,100.0,5.85,5.1,28.63,71.37,65.97
TMSN,BURVA,3,32,15.62,-0.56,18.09,-2.47,4,100.0,8.47,9.99,34.31,65.69,65.97
ENJSA,MAGEN,2,13,23.08,0.18,16.8,6.28,4,100.0,4.36,3.62,15.83,84.17,65.93
AGESA,PEKGY,1,23,21.74,-0.2,20.51,1.23,4,100.0,5.01,4.88,16.18,83.82,65.81
BRISA,BURVA,1,20,15.0,0.08,18.22,-3.22,4,100.0,8.39,9.93,34.44,65.56,65.7
ASGYO,SDTTR,4,9,44.44,1.83,13.69,30.75,4,75.0,7.49,9.98,12.6,62.4,65.47
RAYSG,PENTA,4,51,13.73,-0.36,9.96,3.77,4,100.0,4.22,4.01,7.14,92.86,65.21
AGHOL,TKFEN,1,15,6.67,0.41,14.79,-8.13,5,100.0,7.06,8.08,21.99,78.01,65.03
NTHOL,KAPLM,1,27,22.22,0.72,18.61,3.61,4,100.0,4.95,4.53,21.99,78.01,65.01
NATEN,PRZMA,5,40,12.5,0.03,14.51,-2.01,4,100.0,7.1,7.16,25.74,74.26,65.0
MNDTR,KLRHO,3,13,15.38,1.39,15.28,0.1,5,100.0,6.73,6.61,28.45,71.55,65.0
KLSER,KTLEV,5,13,23.08,-0.25,20.8,2.28,4,100.0,5.68,4.84,28.57,71.43,64.76
BEGYO,MARTI,1,30,10.0,0.29,13.47,-3.47,4,100.0,5.97,5.61,16.18,83.82,64.72
ISCTR,INVEO,2,14,14.29,-0.07,14.23,0.06,4,100.0,4.61,5.04,10.42,89.58,64.7
TAVHL,HEDEF,2,11,27.27,1.26,19.76,7.51,5,100.0,4.03,3.33,28.05,71.95,64.52
KLSER,DITAS,3,20,5.0,-1.65,16.1,-11.1,4,100.0,7.55,7.7,24.27,75.73,64.47
